images,name,selling-price,mrp,rating-star,rating_count,highlights
"https://rukminim2.flixcart.com/image/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/b/l/-original-imaghkvu76hvg7fu.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/f/n/-original-imaghkvuhcqdjqbt.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/6/q/-original-imaghkvu77p5gb7g.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/v/y/j/-original-imaghkvu5pjgbsz9.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/p/b/-original-imaghkvujffbbwuy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/o/9/-original-imaghkvuteeyhbep.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/m/k/-original-imaghkvurgfjnyb5.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/t/0/-original-imaghkvu4eztygpb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/k/v/1/-original-imaghkvumvwuf8wk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/z/u/-original-imaghkvufaeyx4ue.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/y/h/-original-imaghkvuc9e4habq.jpeg","REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","₹23,999","₹31,999",4.2 out of 5,"28,067 Ratings","8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/s/p/e/-original-imagtkzunhcht8vz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/p/e/-original-imagtkzunhcht8vz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/p/e/-original-imagtkzunhcht8vz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/3/i/y/edge-40-neo-payj0000in-motorola-original-imagtkekgruy6kpg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/u/v/edge-40-neo-payj0000in-motorola-original-imagtkekrd4rygmw.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/i/n/edge-40-neo-payj0000in-motorola-original-imagtkekdq8qraxr.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/0/8/m/edge-40-neo-payj0000in-motorola-original-imagtkekeph98ukj.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/z/w/edge-40-neo-payj0000in-motorola-original-imagtkekb7dwzgyz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/j/a/edge-40-neo-payj0000in-motorola-original-imagtkekau5gpz62.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/l/w/edge-40-neo-payj0000in-motorola-original-imagtkekpyd2udks.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/q/t/edge-40-neo-payj0000in-motorola-original-imagtkekz4vqqmy7.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/f/h/edge-40-neo-payj0000in-motorola-original-imagtkeknydgjsfa.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/u/w/x/edge-40-neo-payj0000in-motorola-original-imagtkekctbzzejy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/3/h/edge-40-neo-payj0000in-motorola-original-imagtkekgtqxzvat.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/o/z/edge-40-neo-payj0000in-motorola-original-imagtkek8kx37gjs.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/6/x/-original-imagtmnxkhgm6sjz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/e/5/-original-imagtmnxzmqjdxf9.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/l/r/-original-imagtmnx6kgdyj6w.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/x/k/s/-original-imagtmnxysgyhrqy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/j/n/-original-imagtmnxaumyxwvw.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/h/p/-original-imagtmnxgkys2agg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/7/v/1/-original-imagtmnxnfjnhgwb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/a/v/-original-imagtmnxbahcdefg.jpeg","MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)","₹22,999","₹27,999",4.4 out of 5,"10,720 Ratings","8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/q/t/h/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79f82pfyzvh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/t/h/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79f82pfyzvh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/t/h/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79f82pfyzvh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/8/u/g/-original-imagqdfvezhqmkjw.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/6/p/-original-imagqdfvh7nghwsm.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/w/h/q/-original-imagqdfvygs5kffa.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/w/m/v/-original-imagqdfvzxfb9y4t.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/4/w/e/-original-imagqp8vvg6zrv4v.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/j/o/h/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79fe6a8cgue.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/8/r/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79fftwjfx6w.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/h/e/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79fzwtw757z.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/k/q/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79fgsh2hbqk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/c/h/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79fdzjn37gg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/i/r/l/galaxy-f54-5g-sm-e546bzshins-samsung-original-imagq79fy26tz7ht.jpeg","SAMSUNG Galaxy F54 5G (Stardust Silver, 256 GB)","₹30,999","₹35,999",4.2 out of 5,"17,152 Ratings","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 32MP Front Camera,6000 mAh Battery,Octa Core Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/b/k/d/-original-imagrgpkyyrjzdxz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/k/d/-original-imagrgpkyyrjzdxz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/s/b/-original-imagrgpk3x49gy3j.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/4/q/-original-imagrgpkazfgx2fk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/7/0/p/-original-imagrgpkuyemagde.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/k/d/v/-original-imagrgpkhju8cjjs.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/8/d/l/-original-imagrgpkhetyuxrq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/e/y/-original-imagrgpkjxvymgux.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/d/p/-original-imagrgpkftjgeqjv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/k/p/-original-imagrgpksquvefmd.jpeg","Infinix HOT 30 5G (Miami Orange, 128 GB)","₹11,499","₹14,999",4.1 out of 5,"3,099 Ratings","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.22 cm (6.78 inch) Full HD+ Display,50 MP + AI Lens | 8MP Front Camera,6000 mAh Lithium Ion Polymer Battery,Dimensity 6020 5G Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/e/a/g/-original-imags37h4prxjazz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/a/g/-original-imags37h4prxjazz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/s/h/12-mzb0eywin-redmi-original-imagrwgc3zbbyyzg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/b/a/12-mzb0eywin-redmi-original-imagrwgc4knzycqn.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/r/h/-original-imags2yrpzcfyzzr.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/c/g/12-mzb0eywin-redmi-original-imagrwgcdmyntjzh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/j/j/12-mzb0eywin-redmi-original-imagrwgcjfnb47y2.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/4/g/h/12-mzb0eywin-redmi-original-imagrwgchzz8cfws.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/6/4/k/12-mzb0eywin-redmi-original-imagrwgcgepzvkpd.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/z/i/12-mzb0eyxin-redmi-original-imagrwgcb9tyhadq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/q/k/12-mzb0eyxin-redmi-original-imagrwgcuzhypwpv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/g/m/12-mzb0eyxin-redmi-original-imagrwgchrghcnby.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/4/e/12-mzb0eyxin-redmi-original-imagrwgcksmzq3kh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/q/o/12-mzb0eyxin-redmi-original-imagrwgcddcwdwfx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/e/i/12-mzb0eywin-redmi-original-imagrwgc3cb2bbtx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/0/j/u/12-mzb0eyxin-redmi-original-imagrwgcsh5hnvj9.jpeg","REDMI 12 (Pastel Blue, 128 GB)","₹10,499","₹15,999",4.2 out of 5,"24,079 Ratings","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/p/u/h/-original-imagsf4rcgqz6mbh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/u/h/-original-imagsf4rcgqz6mbh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/2/k/-original-imagsat8bah8u2xh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/y/5/-original-imagsat8pwhhqzhz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/d/e/-original-imagsat8twz8vhga.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/w/b/-original-imagsat8rdurrhff.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/a/d/h/-original-imagsat8wzvnhsz6.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/w/j/-original-imagsat8azyukdyp.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/z/7/-original-imagsat89zzu6hcj.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/r/b/-original-imagsat8w2ftmdpf.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/9/k/j/-original-imagsat8seqtvysc.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/k/l/-original-imagsat8g4qgc3nf.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/b/g/-original-imagsat8tehdvtg6.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/v/x/d/-original-imagsat8zyxbzgqt.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/j/2/-original-imagtrv6r9az9emy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/y/l/-original-imagtrv6zp8szpqu.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/u/8/q/-original-imagtrv6a72jfhtc.jpeg","MOTOROLA e13 (Creamy White, 128 GB)","₹7,999","₹10,999",4.1 out of 5,"19,387 Ratings","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor"
"https://rukminim2.flixcart.com/image/jyxaw7k0/mobile/t/t/y/kechaoda-k115-k115-original-imafgrt5yqduejcj.jpeg,https://rukminim2.flixcart.com/image/jyxaw7k0/mobile/t/t/y/kechaoda-k115-k115-original-imafgrt5z5m52hem.jpeg,https://rukminim2.flixcart.com/image/jyxaw7k0/mobile/t/t/y/kechaoda-k115-k115-original-imafgrt5qqmzhvsb.jpeg,https://rukminim2.flixcart.com/image/jyxaw7k0/mobile/t/t/y/kechaoda-k115-k115-original-imafgrt5fnma3mtx.jpeg",Kechaoda K115,"₹1,090","₹1,499",4.1 out of 5,"33,094 Ratings","32 MB RAM | 32 MB ROM,3.66 cm (1.44 inch) QVGA Display,0.3MP Rear Camera,850 mAh Battery"
"https://rukminim2.flixcart.com/image/xif0q/mobile/m/b/e/hero-600i-auto-call-recording-wireless-fm-with-recording-blue-original-imagkcb2vcggmbgw.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/q/k/hero-600i-600i-bg-lava-original-imagkgq67wgzqpfz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/d/1/u/hero-600i-600i-bg-lava-original-imagkgkw4fp4nvxe.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/y/i/h/hero-600i-600i-bg-lava-original-imagkgkwe6hfzhcb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/f/2/hero-600i-600i-bg-lava-original-imagkgkw42paqm9q.jpeg",LAVA Hero 600i,₹925,"₹1,199",4 out of 5,"3,419 Ratings","4 MB RAM | 3 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) QVGA Display,620 mAh Battery"
