name,selling-price,mrp,rating-star,rating_count,highlights
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹8,199","₹14,999",4.3 out of 5,"1,85,607 Ratings","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor"
"POCO C55 (Forest Green, 128 GB)","₹7,799","₹13,999",4.1 out of 5,"88,548 Ratings","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹16,899","₹19,999",4.4 out of 5,"1,35,981 Ratings","6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera | 16MP Front Camera,5000 mAh Battery"
"POCO M6 Pro 5G (Power Black, 128 GB)","₹10,999","₹15,999",4.3 out of 5,"41,833 Ratings","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",,,5 out of 5,,"8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,999",,4.4 out of 5,"26,601 Ratings","8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,999",,4.4 out of 5,"26,601 Ratings","8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery"
"MOTOROLA g54 5G (Pearl Blue, 128 GB)","₹14,999","₹17,999",4.2 out of 5,"23,466 Ratings","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor"
"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)","₹18,999","₹22,999",4.2 out of 5,"20,390 Ratings","12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 Processor"
"POCO M5 (Icy Blue, 128 GB)","₹8,999","₹18,999",4.2 out of 5,"12,335 Ratings","6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor"
