images,name,selling-price,mrp,rating-star,rating_count,highlights
"https://rukminim2.flixcart.com/image/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/r/f/-original-imaghkvuhzwge3za.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/b/l/-original-imaghkvu76hvg7fu.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/f/n/-original-imaghkvuhcqdjqbt.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/6/q/-original-imaghkvu77p5gb7g.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/v/y/j/-original-imaghkvu5pjgbsz9.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/p/b/-original-imaghkvujffbbwuy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/o/9/-original-imaghkvuteeyhbep.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/m/k/-original-imaghkvurgfjnyb5.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/t/0/-original-imaghkvu4eztygpb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/k/v/1/-original-imaghkvumvwuf8wk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/z/u/-original-imaghkvufaeyx4ue.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/y/h/-original-imaghkvuc9e4habq.jpeg","REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","₹23,999","₹31,999",4.2 out of 5,"28,067 Ratings","8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/g/c/x/-original-imagtyxdm82fsv6m.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/g/c/x/-original-imagtyxdm82fsv6m.jpeg,//static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/360-view_c3a99e.png,https://rukminim2.flixcart.com/image/xif0q/mobile/d/n/5/-original-imagtyxdswgdxcb3.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/y/6/3/-original-imagtyxbqmzcyjcz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/f/a/-original-imagtyxbz7krqgn4.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/2/a/b/-original-imagzk59abmvfc9h.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/q/x/-original-imagzk59kmhjzgvk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/a/o/6/-original-imagtyxdwgkhhntf.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/3/d/-original-imagtyxdxwqrzggx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/j/f/q/-original-imagtyxdzayjw6hh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/t/b/-original-imagtyxdgfvfdq8h.jpeg","SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹13,990","₹17,490",4.2 out of 5,"28,413 Ratings","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,Exynos 1330, Octa Core Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/5/e/3/g84-5g-paym0018in-motorola-original-imagsy5zmhvkcfsx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/e/3/g84-5g-paym0018in-motorola-original-imagsy5zmhvkcfsx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/e/3/g84-5g-paym0018in-motorola-original-imagsy5zmhvkcfsx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/j/r/g84-5g-paym0018in-motorola-original-imagsy5zwf9eghkc.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/r/1/l/g84-5g-paym0018in-motorola-original-imagsy5zx2uzevnk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/f/3/g84-5g-paym0018in-motorola-original-imagsy5zxzg6g3nr.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/r/a/j/g84-5g-paym0018in-motorola-original-imagsy5zstqfsbmk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/s/a/g84-5g-paym0018in-motorola-original-imagsy5zcrbztpqv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/w/z/g84-5g-paym0018in-motorola-original-imagsy5zsnkefdbr.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/v/w/h/g84-5g-paym0018in-motorola-original-imagsy5z2faf5knz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/t/p/g84-5g-paym0018in-motorola-original-imagsy5zyxk4yeb6.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/d/i/1/g84-5g-paym0018in-motorola-original-imagsy5zt9g7dake.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/x/v/g84-5g-paym0018in-motorola-original-imagsy5zkc6yctke.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/6/g/5/g84-5g-paym0018in-motorola-original-imagsy5zjzj63gw8.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/f/9/g84-5g-paym0018in-motorola-original-imagsy5zgyxsauxg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/v/f/b/-original-imagtrum7cykugpd.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/g/l/-original-imagtrum9jnddpzh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/2/0/-original-imagtrumbqnh46u8.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/4/5/3/-original-imagtrumeamf7dh3.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/f/0/-original-imagtrumt8eunbm6.jpeg","MOTOROLA g84 5G (Viva Magneta, 256 GB)","₹18,999","₹22,999",4.2 out of 5,"20,390 Ratings","12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 695 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/6/f/s/a2-mobzc1pin-redmi-original-imagpuzhqhbphcg2.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/w/8/n/a2-mobzc1pin-redmi-original-imagpuzhdmgphcmb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/6/k/a2-mobzc1pin-redmi-original-imagpuzhnbegffrh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/a/v/a2-mobzc1pin-redmi-original-imagpuzhcqyrzdjg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/x/w/a2-mobzc1pin-redmi-original-imagpuzhhgqztrmp.jpeg","REDMI A2 (Classic Black, 64 GB)","₹6,941","₹10,999",4.2 out of 5,"14,402 Ratings","4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,8MP Rear Camera,5000 mAh Battery"
"https://rukminim2.flixcart.com/image/xif0q/mobile/e/a/g/-original-imags37h4prxjazz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/a/g/-original-imags37h4prxjazz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/s/h/12-mzb0eywin-redmi-original-imagrwgc3zbbyyzg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/b/a/12-mzb0eywin-redmi-original-imagrwgc4knzycqn.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/r/h/-original-imags2yrpzcfyzzr.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/c/g/12-mzb0eywin-redmi-original-imagrwgcdmyntjzh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/j/j/12-mzb0eywin-redmi-original-imagrwgcjfnb47y2.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/4/g/h/12-mzb0eywin-redmi-original-imagrwgchzz8cfws.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/6/4/k/12-mzb0eywin-redmi-original-imagrwgcgepzvkpd.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/z/i/12-mzb0eyxin-redmi-original-imagrwgcb9tyhadq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/q/k/12-mzb0eyxin-redmi-original-imagrwgcuzhypwpv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/g/m/12-mzb0eyxin-redmi-original-imagrwgchrghcnby.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/4/e/12-mzb0eyxin-redmi-original-imagrwgcksmzq3kh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/q/o/12-mzb0eyxin-redmi-original-imagrwgcddcwdwfx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/e/i/12-mzb0eywin-redmi-original-imagrwgc3cb2bbtx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/0/j/u/12-mzb0eyxin-redmi-original-imagrwgcsh5hnvj9.jpeg","REDMI 12 (Pastel Blue, 128 GB)","₹10,499","₹15,999",4.2 out of 5,"24,079 Ratings","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/7/j/y/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5dhysxrgw.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/d/y/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5dv5ty3wf.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/4/y/k/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5hnnwjwyf.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/w/y/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5bs8kbac3.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/s/f/-original-imagq6bg6hw62khz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/j/n/n/-original-imagq6bgzjrghzck.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/i/g/-original-imagq3tyhzayxetq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/2/5/r/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5ehhhfk6h.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/r/z/q/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5fa7hrws8.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/t/k/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz54fwuyfmv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/w/i/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5wtey8txv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/i/8/c/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5bugzrz77.jpeg","SAMSUNG Galaxy A34 5G (Awesome Violet, 256 GB)","₹30,999","₹39,499",4.2 out of 5,"4,485 Ratings","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,48MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Li-ion Battery Battery,Dimensity 1080, Octa Core Processor"
